"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\league\league.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\league\league.component.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\league\league.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\league\league.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\message\message.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\message\message.component.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\message\message.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\message\message.component.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 9, 36
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\results\results.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\results\results.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\results\results.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\results\results.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\training\training.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\training\training.component.html", "HTML", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\training\training.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\land\training\training.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\league\panel\leaguenew\leaguenew.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\league\panel\leaguenew\leaguenew.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\league\panel\leaguenew\leaguenew.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\league\panel\leaguenew\leaguenew.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\material.module.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 1, 5, 79
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\models\auth.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\models\login.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\models\modifier.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\my file\sviluppo\FE_2021\fantacalcio\src\app\models\season.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
